%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
162.0, 40403.14738787978, 18801.90745614856, -187500.02235174447, -187500.02235174447, 29461.364979906677, -187500.02235174447, 11001.729786602235, -104079.93693112576, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948404E9, 0.0, 2023-09-30 16:29:20.194
163.0, 40355.47111695661, 18785.702441418463, -187500.02235174447, -187500.02235174447, 29489.617584898187, -187500.02235174447, 11033.871595128965, -103971.8438949399, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948524E9, 0.0, 2023-09-30 16:29:20.194
164.0, 40322.50229388503, 18781.924996605518, -187500.02235174447, -187500.02235174447, 29417.644967752098, -187500.02235174447, 10947.079771409008, -104146.6345365804, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948636E9, 0.0, 2023-09-30 16:29:20.194
165.0, 40400.24166110059, 18787.62469144162, -187500.02235174447, -187500.02235174447, 29431.905380714583, -187500.02235174447, 10949.046724921076, -104157.05044949657, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948745E9, 0.0, 2023-09-30 16:29:20.194
166.0, 40408.42239957123, 18793.01146185535, -187500.02235174447, -187500.02235174447, 29520.84297190225, -187500.02235174447, 11051.194197081828, -103931.76721713154, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948855E9, 0.0, 2023-09-30 16:29:20.194
167.0, 40340.920131316205, 18811.272837075336, -187500.02235174447, -187500.02235174447, 29490.735172120952, -187500.02235174447, 11051.28360405965, -103834.22420432857, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948965E9, 0.0, 2023-09-30 16:29:20.194
168.0, 40314.008630992015, 18806.288398061803, -187500.02235174447, -187500.02235174447, 29407.944310658495, -187500.02235174447, 10954.947585457276, -104004.63390405582, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949072E9, 0.0, 2023-09-30 16:29:20.194
169.0, 40365.663512428226, 18799.851095658672, -187500.02235174447, -187500.02235174447, 29416.460325295968, -187500.02235174447, 10947.370344086927, -104038.72031435017, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949184E9, 0.0, 2023-09-30 16:29:20.194
170.0, 40364.970608350115, 18801.952159637473, -187500.02235174447, -187500.02235174447, 29473.390218423632, -187500.02235174447, 11012.145699518407, -103870.70225127962, -0.178, 0.966, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949294E9, 0.0, 2023-09-30 16:29:20.194
171.0, 40349.05616629794, 18796.587740968196, -187500.02235174447, -187500.02235174447, 29520.12771607968, -187500.02235174447, 11049.316650547582, -103736.21180489205, -0.184, 0.968, -0.016, 192.0, 250.0, 64.0, 30.0, 64.0, 255.0, 128.0, 0.0, 0.0, 0.0, 1.69610936019494E9, 0.0, 2023-09-30 16:29:20.194
172.0, 40318.38957290525, 18783.1319908061, -187500.02235174447, -187500.02235174447, 29475.670096358073, -187500.02235174447, 10973.499533355181, -103857.98410868456, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949508E9, 0.0, 2023-09-30 16:29:20.194
173.0, 40383.924887648216, 18809.90938066356, -187500.02235174447, -187500.02235174447, 29440.711968029973, -187500.02235174447, 10922.336390296983, -103981.00811016657, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949618E9, 0.0, 2023-09-30 16:29:20.194
174.0, 40402.365076823844, 18807.18246784001, -187500.02235174447, -187500.02235174447, 29488.83527384225, -187500.02235174447, 10987.804649806578, -103839.16393985318, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949725E9, 0.0, 2023-09-30 16:29:20.194
175.0, 40357.92980884669, 18793.749069422374, -187500.02235174447, -187500.02235174447, 29516.037346844358, -187500.02235174447, 11044.868653400976, -103661.80284760032, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949832E9, 0.0, 2023-09-30 16:29:20.194
176.0, 40322.03290725147, 18778.795752381775, -187500.02235174447, -187500.02235174447, 29472.205575967502, -187500.02235174447, 10991.760908575166, -103728.72397049952, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601949942E9, 0.0, 2023-09-30 16:29:20.194
177.0, 40365.48469847259, 18792.743240921885, -187500.02235174447, -187500.02235174447, 29450.92671524605, -187500.02235174447, 10923.342218797472, -103892.96458875711, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601950052E9, 0.0, 2023-09-30 16:29:20.195
178.0, 40401.538062278996, 18790.95510136546, -187500.02235174447, -187500.02235174447, 29485.728381362962, -187500.02235174447, 10969.006832719664, -103807.46916621557, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360195016E9, 0.0, 2023-09-30 16:29:20.195
179.0, 40349.436145953674, 18781.120333805124, -187500.02235174447, -187500.02235174447, 29497.574805924276, -187500.02235174447, 11032.195214294818, -103638.66879208908, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601950269E9, 0.0, 2023-09-30 16:29:20.195
180.0, 40310.566462345894, 18794.10669733366, -187500.02235174447, -187500.02235174447, 29469.50101488841, -187500.02235174447, 10986.977635261732, -103690.79306015886, -0.184, 0.968, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601950374E9, 0.0, 2023-09-30 16:29:20.195
181.0, 40364.99296009457, 18797.52651423532, -187500.02235174447, -187500.02235174447, 29470.55154687781, -187500.02235174447, 10913.507451237138, -103896.36205391432, -0.19, 0.98, -0.026000000000000002, 192.0, 250.0, 16.0, 30.0, 160.0, 255.0, 48.0, 0.0, 0.0, 0.0, 1.6961093601950483E9, 0.0, 2023-09-30 16:29:20.195
