Tiempo (ms)	Antebrazo	Cuello
1151	511	511
1152	509	511
1153	510	512
1154	509	510
1155	508	510
1156	506	509
1157	507	508
1158	507	509
1159	505	508
1160	509	508
1161	507	506
1162	505	507
1163	508	510
1164	512	510
1165	510	511
1166	510	512
1167	511	511
1168	511	510
1169	504	508
1170	504	505
1171	508	508
1172	505	507
1173	509	509
1174	508	507
1175	510	507
1176	509	508
1177	507	507
1178	506	508
1179	506	510
1180	511	510
1181	505	509
1182	504	508
1183	504	507
1184	503	507
1185	508	508
1186	514	506
1187	515	507
1188	514	511
1189	510	513
1190	507	510
1191	505	511
1192	504	507
1193	507	510
1194	510	509
1195	506	508
1196	501	510
1197	501	511
1198	503	508
1199	506	506
1200	510	505
1201	513	509
1202	513	509
1203	515	509
1204	511	508
1205	511	510
1206	509	510
1207	509	506
1208	510	504
1209	510	507
1210	510	507
1211	512	508
1212	508	509
1213	502	512
1214	502	512
1215	504	513
1216	501	515
1217	498	511
1218	499	512
1219	499	513
1220	503	507
1221	510	507
1222	512	506
1223	516	509
1224	513	508
1225	512	511
1226	511	509
1227	509	507
1228	514	510
1229	514	508
1230	516	507
1231	516	507
1232	513	505
1233	509	505
1234	507	507
1235	504	508
1236	506	506
1237	505	505
1238	505	510
1239	502	511
1240	503	515
1241	506	515
1242	507	511
1243	505	511
1244	511	512
1245	509	512
1246	505	508
1247	508	507
1248	508	511
1249	506	513
1250	507	512
1251	507	510
1252	505	507
1253	508	507
1254	509	507
1255	511	507
1256	507	507
1257	507	506
1258	504	506
1259	504	508
1260	505	509
1261	504	505
1262	508	506
1263	504	507
1264	504	510
1265	507	509
1266	509	510
1267	511	510
1268	509	509
1269	511	508
1270	513	509
1271	508	512
1272	504	511
1273	511	511
1274	517	508
1275	516	507
1276	511	506
1277	505	506
1278	504	510
1279	507	512
1280	509	514
1281	509	511
1282	509	509
1283	511	508
1284	511	507
1285	507	509
1286	507	509
1287	507	508
1288	507	507
1289	505	507
1290	504	512
1291	504	510
1292	508	508
1293	511	508
1294	510	508
1295	510	509
1296	507	509
1297	509	508
1298	506	509
1299	511	504
1300	512	501
1301	505	503
1302	504	510
1303	504	514
1304	504	513
1305	502	514
1306	501	512
1307	504	512
1308	504	510
1309	503	508
1310	503	507
1311	502	508
1312	503	509
1313	501	513
1314	512	511
1315	516	511
1316	521	509
1317	524	508
1318	523	508
1319	511	508
1320	510	504
1321	514	511
1322	515	512
1323	517	508
1324	512	508
1325	505	512
1326	502	513
1327	504	511
1328	503	515
1329	503	511
1330	504	508
1331	507	508
1332	509	506
1333	508	509
1334	503	508
1335	505	510
1336	504	511
1337	506	507
1338	507	506
1339	507	509
1340	510	508
1341	507	509
1342	509	511
1343	509	512
1344	507	515
1345	508	514
